,,0x3e1c,0x300b,0x1805,0x1004,0xc02,0x99c,0x802,0x6dd,0x601,0x556,0x4ce,0x45e,0x401,0x3b2,0x36e,0x333,0x300,0x2d3,0x2ab,0x287,0x267,0x249,0x22f,0x216,0x200,0x1eb,0x1d9,0x1c7,0x1b7,0x1a8,0x199,0x18c,0x180,0x174,0x169,0x15f,0x155,0x14c,0x143,0x13b,0x133,0x12b,0x124,0x11e,0x117,0x111,0x10b,0x105,0x100,0xfb,0xf5,0xf1,0xec,0xe8,0xe3,0xdf,0xdb,0xd7,0xd4,0xd0,0xcc,0xc9
b 1 95,Shock kt,792130.708764318,764949.7149386668,688144.644653399,575189.1400979846,446351.1745265855,326210.5519563292,239903.73875568362,200270.1554978145,189863.65326957803,180805.17185004478,162531.28219493962,139920.96270584848,123006.07273588584,116159.11773880565,113824.86005702688,108858.82133829383,99768.98902706397,90259.76281107633,84690.16844829891,83138.46878630786,81872.10415897542,78171.76793298934,72709.23953756968,68262.95924306371,66509.50103153882,66145.75273842234,64801.17779376729,61738.78909541584,58321.87076248049,56370.85438649471,56037.100849934584,55763.95232419301,54267.63235112009,51845.15412848452,49904.76005823112,49327.204488974705,49440.191071875815,48944.94449553186,47419.584966721566,45680.604473391395,44825.39089050353,44934.05013625633,45024.7297165756,44275.522291919326,42904.78827802341,41880.29717150552,41793.03573427911,42151.688193807546,42026.47487179223,41129.13008746843,40093.5924665528,39749.26080726424,40130.26192750286,40453.15345569142,40075.193609239155,39201.85242247503,38645.086129820826,38878.94068484895,39459.34816324021,39584.256895473234,39026.13675787511,38374.94971965996
b 1 100,Shock kt,835165.9120910096,806499.9634425814,725497.1103977183,606361.8175245704,470460.9132836099,343709.14821805415,252628.31984295335,210813.87650799018,199880.15383393414,190375.15859163765,171134.1436392023,147302.42534894118,129472.2798168851,122268.95290716166,119830.56836867856,114612.99188883511,105039.28890714067,95017.89686251756,89150.91190635654,87523.12979496973,86195.65524162653,82298.9793531744,76542.58399000113,71859.49862617381,70019.26621678597,69644.83562966403,68232.8821631686,65005.33969676707,61401.50102575582,59344.20848269366,58994.66181139463,58710.07187778234,57135.111843338826,54582.774723346825,52539.00495215868,51933.13513278122,52055.216358497455,51534.40574358998,49925.73678991267,48091.430523918614,47190.34144895347,47307.16998941168,47405.156923194336,46616.41661911232,45171.23421872289,44091.14943879107,44000.19526337447,44379.83150948196,44248.64246431642,43302.37454212293,42210.183877301824,41847.63312581056,42250.71124549096,42592.29418796453,42193.899791791606,41272.42966510572,40685.05316490125,40932.28049104412,41545.29216396854,41677.38605633763,41088.37439199416,40401.01044287158
b 2 55,Shock kt,433434.45658564364,419176.017977898,378794.0927859686,319105.2897933073,250388.61408930804,185142.14020224777,136334.66910390998,111792.58964169824,104662.24915463528,100278.93624691792,91474.3043351965,79538.58578891812,69381.73055028958,64295.967800452956,62643.632988817124,60608.80503829475,56479.97530304405,51380.336948463264,47563.378138024986,45957.60286643256,45301.07275973581,43911.49769623507,41406.352376291106,38741.51224134048,37061.20559808914,36448.409580266845,35974.801015465724,34863.6290299081,33218.31432361837,31767.505952890533,31030.75441064967,30766.859697408057,30341.000217086817,29450.075997393218,28367.723835123837,27587.39071781596,27269.314415867066,27101.009603173512,26700.411410763296,26020.368589381713,25346.05393710788,24955.227116521706,24817.22890504027,24665.4561218092,24315.1917532515,23840.955124196076,23461.48477836669,23288.1525479409,23218.729425927,23079.32670682665,22818.206713959604,22537.54232739394,22360.315115204867,22296.35903562877,22253.22038433042,22154.659690799916,22015.34979758263,21902.269688002703,21850.245524639595,21835.28431340158,21821.54767053577,21806.04599862998
b 3 55,Shock kt,417132.0077024302,403940.00335053966,366504.425438747,310926.97251403687,246419.94345803844,184192.02814178364,135977.57374059706,109732.95641295583,101189.26879837178,97223.54315424491,89903.95421794962,79196.85862198517,69038.40106809202,62934.29739122785,60572.19662339767,58861.791578502154,55664.99895768136,51226.10150552401,47214.99753906593,44877.73080665254,43824.0380436257,42746.85710172877,40900.25713708081,38596.63421641872,36657.956588981564,35516.55223377392,34843.22503217967,34039.98088157629,32876.34152903167,31602.784900973056,30593.320703487814,29944.649618716943,29438.00543400847,28832.268872372497,28099.06910361159,27384.897709471315,26814.564762624745,26371.783780528986,25960.59810510319,25529.473570780803,25103.006215431953,24716.452401095514,24362.38959909046,24016.412577471172,23689.309962135696,23420.44559627631,23216.0393009308,23021.17704019923,22776.4920749378,22496.03266537629,22265.44234870426,22147.571024636727,22100.41383054762,22013.868023276984,21831.32611379259,21618.802938323668,21499.351091278575,21515.29640723339,21574.665970694572,21550.58265397654,21420.792047347317,21294.257292748935
b 4 55,Shock kt,401195.13608697656,388981.6387798201,354266.3011763293,302539.2231245775,242090.1909440536,182990.01791809482,135799.38577968415,108232.18228759678,98062.49262059826,94023.89761034725,87886.63314773396,78503.19397091206,68789.04855029324,62010.258736835065,58760.0545339271,56903.19777869189,54331.98339197961,50676.85323538513,46937.700878145435,44202.970028326374,42598.60276131075,41392.37162148905,39913.4012493692,38105.66342340385,36352.54562005429,34978.67067301263,33957.336274245274,33049.351106422924,32101.830143031897,31147.222502851,30276.36412189554,29501.779678487026,28770.642914450473,28066.629190319338,27440.171283382144,26927.297525651924,26475.447702970363,25987.298432058073,25435.22903520255,24904.77918014957,24505.607159132654,24243.27189007269,24003.90959425197,23674.892160707153,23264.176406648243,22890.325541175367,22654.55376133776,22532.058812581927,22403.59225806497,22185.057231076975,21908.872345000975,21679.58705110192,21559.636534122383,21510.06771453873,21444.589663527473,21323.756630463315,21184.517517419335,21086.69974267695,21047.102552047367,21034.316830692707,21017.204211028868,20998.903077804265
b 5 55,Shock kt,385544.80112983816,374227.885382517,342019.10764126055,293885.7608394315,237321.59750434218,181399.60291963918,135596.83860422365,107147.64631489616,95306.43133968767,90761.12472415177,85430.88169600841,77316.50139006002,68381.2887198312,61387.93120052213,57355.644098589386,55032.551964054794,52685.28550053399,49673.10437776002,46454.759087927036,43746.53119382305,41777.631432796166,40236.13048569874,38748.905686324295,37228.960160840026,35800.65899219512,34545.27119033644,33403.026672737404,32295.374196935958,31253.85339795967,30377.20079795551,29681.469016788516,29046.571913770305,28335.715261860943,27544.197974887837,26806.590309642444,26252.12615852015,25863.849067055908,25499.268727281575,25041.535938535348,24508.940925922125,24019.062849673446,23659.35114173519,23404.175237838383,23159.122570884705,22865.641106567557,22546.8709685884,22261.765689556698,22035.082018814857,21843.13137714226,21657.77119768627,21482.407978485902,21336.07945660741,21214.93023618938,21088.954316792584,20942.196974551745,20803.447234164327,20721.445115830524,20706.56189619904,20709.364140370548,20668.76879888107,20579.23980316018,20501.665929915987
b 5 60,Shock kt,421843.0393856814,409461.1348894423,374221.24119902164,321557.95520180964,259670.30248891588,198485.87951139393,148375.69534543887,117257.49018466107,104314.85578420732,99356.15508038702,93538.71078980289,84674.92028495479,74911.98473204623,67270.48379697723,62864.02070200094,60324.14330936016,57756.05862215878,54458.51368981178,50932.292048014264,47961.18787555755,45798.217336572416,44104.67211924559,42472.94272912681,40806.49671058849,39239.74753617328,37861.15661069945,36606.17155806747,35389.88140104742,34247.07140622426,33285.32718958233,32521.73223672949,31824.87379743199,31045.364079026804,30178.211738334823,29370.483380681064,28763.270333589353,28337.880883539834,27938.485852412938,27437.30400048777,26854.258658021656,26317.84791737292,25923.746785250838,25644.082364890157,25375.688311941085,25054.406598937476,24705.309399537433,24392.769911460968,24144.029529610634,23933.46759695355,23730.42962883188,23538.488728106735,23378.203708665314,23245.25283419104,23106.95905758321,22946.092710431865,22794.21825815518,22704.525944451238,22688.193815202674,22691.10876774714,22646.540472438264,22548.51706521563,22463.63977325214
b 5 65,Shock kt,457883.92142280185,444441.8597068356,406183.9316058172,349007.9876361002,281812.2492259179,215372.3413157905,160950.84993835687,127160.34903414045,113131.53613850207,107788.62912579153,101513.50569371862,91923.68703207353,81347.54669250472,73063.21646089414,68281.45843835428,65520.92298203391,62727.09454662661,59138.24004286744,55297.430078026395,52057.58010419318,49697.60112233647,47852.85695379953,46080.6782172427,44273.95944094422,42576.25301087099,41082.45955552321,39722.5643013634,38404.695839264066,37166.384771494,36123.716151002016,35294.71713286132,34536.87314727368,33688.63679037875,32745.233113995062,31866.749815836767,31206.604974873528,30744.615701104958,30311.551660135305,29768.447019620417,29136.580035358376,28555.16208521102,28127.981295365804,27824.875473576532,27533.918020005487,27185.374617434074,26806.322180116193,26466.66643858207,26196.247955688552,25967.575214425444,25747.466762201526,25539.591590951877,25365.945696084178,25221.683687172834,25071.445679402656,24896.75238555867,24731.98120045128,24634.797904285373,24617.187446578184,24620.340032446766,24571.866858167083,24465.369090808705,24373.18619107464
b 6 65,Shock kt,439862.3642552813,427391.2619772244,391861.99574522156,338644.69467970275,275827.8359045661,213158.5279664139,160737.5276143431,126444.54889819496,110544.24384325556,104170.89608595858,98340.45008785416,90004.2977470634,80524.36481583842,72468.0642612486,67100.94298341828,63672.248798210894,60727.26147990042,57543.45534822044,54300.47972231797,51426.50663374604,49032.19847925768,46915.216552925056,44915.95734508885,43099.41599601336,41591.3965516708,40341.91317149959,39134.19170229573,37815.645924086195,36461.07331642008,35286.825263057726,34413.404745713815,33737.43267692996,33048.43052711913,32239.267907122736,31383.820263178546,30630.753492799635,30045.497771525817,29565.493279171216,29092.745512544614,28595.95410479119,28113.734520329064,27682.50111462779,27289.85367476831,26904.81966886611,26532.702588842734,26215.63868106666,25975.190155354296,25771.72932569285,25538.40440023515,25254.64707276682,24974.1552664598,24771.800195810556,24664.223254017703,24592.32103534043,24484.420810690786,24327.643723851,24172.740779169748,24074.57418911867,24037.418498498202,24022.700011618635,24000.33242998202,23977.872546493672
b 6 70,Shock kt,474861.7180950417,461398.0367969235,423040.6273472036,365586.09992199595,297765.66467954975,230102.0873048998,173502.96110585117,136483.29199170065,119335.71488120148,112483.38211666515,106217.9739288732,97243.24108780929,87026.42594315625,78336.98611712219,72541.72388985122,68834.14322347334,65647.21653169385,62201.22978078408,58689.09014038329,55573.448020650445,52976.31624908351,50682.05355767931,48519.37624772701,46557.466494650864,44930.28207559675,43582.429419757726,42279.390252277044,40856.44834866118,39394.272449262826,38126.1536379492,37182.05175940697,36450.59964433255,35704.95685709386,34829.680396851436,33904.55037513527,33090.13879566874,32457.342933606687,31938.887062249625,31428.938583318264,30893.296389588653,30373.13187837372,29907.501839290035,29483.16123908214,29066.994703211047,28664.911365837364,28322.34441066572,28062.436324501377,27842.38941233895,27590.147600502834,27283.607813394232,26980.72135449654,26762.219212736403,26646.012517578012,26568.32331616369,26451.802453835116,26282.494130622003,26115.10340489727,26008.86577294849,25968.536004638332,25952.618967923045,25928.627876396367,25904.54703398919
