,,0x3e1c,0x300b,0x1805,0x1004,0xc02,0x99c,0x802,0x6dd,0x601,0x556,0x4ce,0x45e,0x401,0x3b2,0x36e,0x333,0x300,0x2d3,0x2ab,0x287,0x267,0x249,0x22f,0x216,0x200,0x1eb,0x1d9,0x1c7,0x1b7,0x1a8,0x199,0x18c,0x180,0x174,0x169,0x15f,0x155,0x14c,0x143,0x13b,0x133,0x12b,0x124,0x11e,0x117,0x111,0x10b,0x105,0x100,0xfb,0xf5,0xf1,0xec,0xe8,0xe3,0xdf,0xdb,0xd7,0xd4,0xd0,0xcc,0xc9
b 1 5,No.2 spread,22959.396532669853,21656.898048463834,18013.33423782011,12759.820647906732,6936.9959651632,1885.1535377836117,2902.217040256247,4955.443595342874,5189.46902148167,3913.9690271722466,1884.141334564216,1228.9017521424014,2635.3422089161927,3334.7140677420143,3013.325675344044,1875.0345034779084,353.4620258557461,1053.816771437894,1939.3151393045948,2097.216516296766,1564.3089953835693,587.1611496195152,487.9841725534223,1283.7848734911263,1574.7317632901033,1298.8120494141365,581.6108894917053,317.81961920735847,1097.4666451836179,1510.7391550181626,1441.7785904945924,936.643678184591,212.5651371297168,622.6830425132835,1139.908425528194,1265.4139157307438,974.0701575710134,380.1318561919704,312.8910477892107,869.0939059716866,1115.306688214512,981.7494887718813,527.2010851945729,131.30397874740396,680.6284825220399,1020.3264375330762,1022.2210665047173,693.9753447168249,164.46541876797627,439.3963813976163,854.4621385523881,981.123638656154,783.3687653338359,339.0631554006345,236.71237809420992,685.3079458196689,904.2414027795567,816.5610053277755,460.72550120520555,135.84513849896575,560.653068637404,846.9453653534151
b 1 10,No.2 spread,24502.928498740635,23119.49805731567,19250.707313226725,13677.965325114135,7525.036859670776,2352.553352239303,3246.4842076668733,5340.468748997584,5580.126139333089,4246.667982036673,2177.240222788889,1540.8993761746965,2895.59921971758,3596.5111876326146,3235.9761576228116,2017.7538102100816,431.6857333821317,1139.091510003623,2077.9329860939997,2250.220323967744,1691.7481975565722,678.248722093525,541.599036169384,1357.4784802768936,1661.8458221145875,1368.9066448247772,612.3821480817157,359.6344575651721,1176.4853364817736,1612.1154635703326,1538.4170519765075,1007.7806155978109,292.5893854458981,689.2933946818599,1222.3907207905893,1348.344238657272,1035.0089574315205,410.71645927346844,364.5242158390059,943.3130390324017,1201.672270297299,1058.0549013150953,578.9952490932818,191.84871033697618,735.690011048989,1092.6582860697233,1093.3255704962608,745.8692832904071,210.13755841419078,485.82232167323735,919.203168969234,1051.0595606322356,840.1737878760533,377.6709869804058,288.7697871521141,748.3812451014139,978.1937667427711,884.1492074764661,510.56349314898193,197.27495656580018,614.0523762812079,915.1174867634421
b 1 15,No.2 spread,26217.14808293965,24742.177448371796,20619.65296765571,14691.169471627145,8182.511898069144,2912.220721313671,3718.0902704536966,5820.549361501464,6041.358628434596,4627.423795287068,2512.2955027314683,1922.0330101036668,3235.1572519321635,3921.725988614417,3499.764250202162,2184.800467775343,622.4228921611012,1350.8457436739159,2323.0687821387346,2496.6159298307493,1897.0444526179945,854.4784512518694,691.6347980128304,1498.124420173866,1815.982525114396,1502.9275171668723,704.9676366235193,409.1234438929456,1253.2594210055347,1717.5316336199849,1641.8152726719863,1086.8585244672552,399.17431036393486,798.3501859032827,1344.271097413679,1467.4073803848573,1126.8759451690375,478.8133250148772,453.6149452441521,1046.1562287473644,1316.4110532315165,1159.769128558177,654.631748628934,288.46292108105473,818.8594140906947,1193.6599987544355,1191.675938656149,821.9364326208263,292.22936793947684,561.6385063950588,1012.6801990975996,1150.4975333682646,924.4575785806687,445.21723969641033,363.5587659247996,830.5510267436919,1073.075353566136,972.2990933190467,581.1409464957625,285.72398007492023,692.447871419863,1009.3372532229095
b 1 20,No.2 spread,27342.850661427718,25851.4949955784,21680.365887123033,15672.944401109331,9056.16047180788,3536.13823606356,3468.939569281968,5550.96635320536,5878.227070396432,4552.388849712372,2405.2519543584435,1537.7497172859075,2878.079302735275,3615.7996519783933,3258.1629700916133,2014.66731775496,468.6224759130644,1278.2547365157552,2210.6018785086535,2351.2432051288924,1740.3455925696287,716.5754334620503,761.3009546545123,1570.96962188948,1863.792783085366,1531.1051255235855,737.1506151546428,479.8818144517741,1288.1843089362449,1743.7093783313073,1662.441841217364,1101.6369274157853,380.6825451265016,752.6901327222824,1298.802083556419,1420.816126029362,1081.5450768749922,440.91840384398444,478.317589148395,1067.9249035098974,1330.159631858183,1166.9101456291517,658.4283949902766,292.2020409628309,818.2074100664872,1190.0291820390994,1185.422263248503,813.7267733184503,280.4785785279865,558.4627194244712,1008.3827093127458,1143.0746355356316,914.1505682249087,433.32263387087403,367.6217532490481,837.7411786149531,1078.6648716032153,975.4298607125291,581.7320989461657,285.3463091057047,694.3040359494389,1012.0281808040976
b 1 25,No.2 spread,29276.06209498094,27678.57311742742,23213.962392447505,16796.863559896054,9769.52867520942,4065.543901834049,4004.4172198679476,6065.4755737595315,6331.7801037663085,4889.197766391932,2737.8871293700367,2218.3494818778618,3573.7959460088,4286.334255871316,3839.5406773842683,2472.147265988525,970.6616045600024,1534.1057831411783,2487.6928695458637,2644.1307459810578,2003.2350826036609,973.6597755534287,969.1823075492358,1773.6517345667496,2087.377832338309,1739.6141853377994,909.572752924787,565.5711834671171,1368.6695484123356,1856.805824894804,1779.329151334866,1200.922105468477,529.1666381981805,907.9720287954343,1462.9784821158903,1581.7135448570693,1214.0034597983863,555.1802046346305,581.8064289058282,1184.4596673533542,1461.8650062032339,1288.0707309463414,760.2433753190356,426.92292564959246,936.3141210185702,1323.2510481437346,1314.1338694426277,918.8157856712187,397.8355912594555,663.4745116869626,1129.8077376891085,1271.7498600364224,1027.7629793076883,533.983571839803,466.122239826246,939.1375314391213,1193.8183573583735,1084.4731268099147,675.3276149608273,396.42128497679425,795.9866486163287,1129.3149626163734
b 1 30,No.2 spread,30834.297411280262,29172.640058327495,24528.747023889846,17855.431320901545,10557.107291719392,4649.7901964534185,4289.54755503341,6324.106931928141,6621.799707888066,5176.507562515862,3004.7058311286014,2388.7723155435197,3681.6050925130958,4391.68964212556,3931.8712720419817,2535.788343072201,1030.1972826938288,1616.4895537636667,2585.910697283319,2745.516025709723,2099.9031102532354,1106.8414902263848,1132.249757302897,1908.1915640301543,2209.248125430798,1841.268720124778,998.6172293806509,667.5419085171426,1453.5890560479538,1948.9057293074413,1867.2797738973331,1274.3964089889512,597.2024998337837,954.2995304816598,1513.8170145814493,1632.728474090539,1256.440163508582,605.3422281358127,660.6141089434524,1262.325073256348,1539.6867811397537,1355.5921262479037,816.2087537187552,494.6641455243577,999.2423779586892,1392.5221034888282,1380.7353779479272,974.1552971928286,453.8539072350746,710.8813889748207,1182.9827674367648,1326.8560205160804,1075.5001729121775,579.1015096414627,524.7783382691289,999.9258384587564,1258.6285056558127,1143.9906536573033,726.2567691599928,454.49488949731295,852.3380607355477,1193.2604877751023
b 1 35,No.2 spread,32609.453186568455,30868.605581426844,26004.757841621195,19021.646292526624,11407.469805388628,5306.335954809838,4733.921448966714,6711.560229408035,7000.220338048918,5510.023794395718,3308.6202231498737,2698.536027815872,3975.3443405402522,4690.411798168656,4209.998705931415,2780.4537153887172,1310.9922536184015,1810.375526697611,2761.502298691905,2915.1544456446395,2250.540238842516,1264.3034807119095,1296.7810559768732,2066.3362305390056,2369.352192662447,1988.6947325950744,1138.8576580106521,803.9706614309033,1556.6497654371135,2056.9922143941317,1969.1109364055558,1360.2264848204468,696.2052020259687,1050.4827101448818,1615.2265946596992,1732.7253475810292,1342.7933177342818,694.7324236829054,757.5309605427667,1359.3444988644383,1640.5799195928175,1447.1361726564662,897.1523910281093,590.1778564774216,1087.0895272998446,1487.0496193809843,1471.3159972078288,1051.1782687502784,538.2636562404898,790.7830708091293,1269.4091835190802,1415.7357081061473,1154.6987284264817,653.683152486892,604.0260094433204,1080.2398647296338,1345.655864415053,1226.318645572877,799.7875482008353,534.7386493917551,928.257784617326,1277.8561574962316
b 1 40,No.2 spread,33941.192525313396,32163.717947063058,27196.038034292193,20058.55242838095,12259.501963488567,5895.827993934421,4758.13279169789,6614.004668935598,6934.654333744993,5460.663823559699,3189.708426584088,2430.8711113514173,3727.235471656578,4463.400626360539,3995.795720982477,2585.783626602149,1219.2812159999507,1898.0007757948338,2841.3708270809598,2961.2880305542003,2277.0473462366554,1344.9496325773862,1465.87195211357,2214.2399441922867,2482.6154753024057,2065.6476246946318,1203.4730201078494,912.1766644081498,1654.5795296453873,2141.4773800916405,2032.0025157839366,1406.7460992908996,787.1219333830295,1172.9201280467953,1733.738903117123,1839.4044291635348,1432.239967005079,785.8908983205123,841.9241775464558,1432.900525129687,1710.0244428486583,1504.5922133702743,942.0925358484618,642.4735286718656,1142.101744103334,1545.176949513753,1523.8608340957371,1094.2003133674407,597.1803947454805,863.8817244132254,1345.473128736201,1489.601062563208,1218.7134641561604,713.8443738311087,667.1234506146359,1142.4144849098748,1410.8430532117932,1286.8963121666256,853.45483483621,592.6801374156796,985.1605573420339,1340.9164184650485
b 1 45,No.2 spread,35819.25760191071,33966.18133283018,28787.94204746297,21351.484101503847,13237.903294149704,6627.234076473466,5179.84822263794,6917.354287392033,7221.865953035291,5709.717847046811,3409.3188349146376,2675.0945427828588,3980.169584302788,4731.27556526864,4254.434854806871,2825.2614333816114,1476.8821787809145,2060.075344825105,2983.159941167114,3096.802176302126,2402.7003544445793,1496.0423959462516,1643.1831386355573,2389.083114985213,2653.7622174120097,2222.261001398833,1355.4831853952157,1059.0508476496555,1769.9627787008878,2255.5881237964823,2138.078959663111,1501.5521289175647,901.0547818647862,1284.5445081902958,1846.2844747118281,1947.8129452705498,1527.3456372188311,882.9027641923205,942.5155780435579,1532.343086422126,1811.4892622583466,1597.461828378677,1027.943545597627,742.0423802200362,1235.320218348011,1642.3843011085369,1616.4300646752172,1175.1953437712682,684.951087271218,949.0026040331528,1435.6551164451255,1581.3635659178549,1301.8870323670064,793.871746041395,750.2822686749195,1225.8867554946046,1499.4774143366321,1371.1228305182967,930.5595227732141,674.9260413664716,1064.7532103719518,1427.7452494135819
b 1 50,No.2 spread,38126.70918842725,36155.758206255334,30652.268392258396,22764.25602368032,14201.763741230116,7342.054263030938,5862.224285087597,7541.955524930563,7765.861688462217,6140.492156017209,3857.2371620129816,3382.7706209463395,4734.854074851187,5458.406632172219,4900.010610052264,3402.879345282474,2151.3039071622275,2667.461609916815,3544.0065884457986,3626.9047351464646,2892.0419718421954,1993.7179995960846,2100.955708370131,2813.507229373038,3069.062957089978,2606.666801380518,1714.7342642654198,1380.8821144167878,2038.7887340498114,2534.6843007858815,2414.1663731423373,1760.9389825662677,1166.8688217394715,1510.423700750528,2073.0007542550507,2175.4285359010396,1737.6239544610894,1092.6095829388773,1142.549046949762,1732.0773942832893,2022.3490602185548,1800.1644562952451,1220.000584666211,936.527952579772,1409.8891638422003,1825.5159926002284,1795.8588788318368,1338.5781722020106,858.1217876737827,1115.536676742994,1611.1570235416739,1761.4224775588648,1469.7048358739705,961.0293424305526,925.5243480029485,1401.0714692974082,1683.5975542691658,1548.4642395098263,1097.9267786257938,849.5781772976101,1230.491650246524,1603.9302724640515
