,value,period,hidisp_s,lodisp_s,hidisp_b,lodisp_b,category
b 1 55,39641.805314389,159.0,,,,449500.010154673,Lower 80% of displacements
b 1 55,434091.412458621,123.0,,,,434091.412458621,Lower 80% of displacements
b 1 55,390553.5875056058,61.5,,,,390553.5875056058,Lower 80% of displacements
b 1 55,326530.8029802938,41.0,,,,326530.8029802938,Lower 80% of displacements
b 1 55,253522.15061448526,30.75,,,,253522.15061448526,Lower 80% of displacements
b 1 55,185467.7604882325,24.6,,,,185467.7604882325,Lower 80% of displacements
b 1 55,136592.28634673217,20.5,,,,136592.28634673217,Lower 80% of displacements
b 1 55,114100.14788299348,17.57,,,,114100.14788299348,Lower 80% of displacements
b 1 55,108103.93761129671,15.37,,,,108103.93761129671,Lower 80% of displacements
b 1 55,102874.11376983787,13.67,,,,102874.11376983787,Lower 80% of displacements
b 1 55,92445.78368857497,12.3,,,,92445.78368857497,Lower 80% of displacements
b 1 55,79577.91965618316,11.18,,,,79577.91965618316,Lower 80% of displacements
b 1 55,69945.77580418713,10.25,,,,69945.77580418713,Lower 80% of displacements
b 1 60,41528.276019652905,159.0,,,,491692.0111234195,Lower 80% of displacements
b 1 60,474836.3664124042,123.0,,,,474836.3664124042,Lower 80% of displacements
b 1 60,427209.55737562507,61.5,,,,427209.55737562507,Lower 80% of displacements
b 1 60,357172.919023183,41.0,,,,357172.919023183,Lower 80% of displacements
b 1 60,277304.13173140696,30.75,,,,277304.13173140696,Lower 80% of displacements
b 1 60,202851.15255027494,24.6,,,,202851.15255027494,Lower 80% of displacements
b 1 60,149375.8908940751,20.5,,,,149375.8908940751,Lower 80% of displacements
b 1 60,124767.29854912676,17.57,,,,124767.29854912676,Lower 80% of displacements
b 1 60,118213.05614806747,15.37,,,,118213.05614806747,Lower 80% of displacements
b 1 60,112500.3191738664,13.67,,,,112500.3191738664,Lower 80% of displacements
b 1 60,101100.11651809484,12.3,,,,101100.11651809484,Lower 80% of displacements
b 1 60,87029.38019316524,11.18,,,,87029.38019316524,Lower 80% of displacements
b 1 60,76495.91617040154,10.25,,,,76495.91617040154,Lower 80% of displacements
b 1 65,43364.46686634753,159.0,,,,534328.822270848,Lower 80% of displacements
b 1 65,516012.72424277343,123.0,,,,516012.72424277343,Lower 80% of displacements
b 1 65,464259.4246734703,61.5,,,,464259.4246734703,Lower 80% of displacements
b 1 65,388155.0512135172,41.0,,,,388155.0512135172,Lower 80% of displacements
b 1 65,301367.4134503615,30.75,,,,301367.4134503615,Lower 80% of displacements
b 1 65,220465.2794299423,24.6,,,,220465.2794299423,Lower 80% of displacements
b 1 65,162356.00647395416,20.5,,,,162356.00647395416,Lower 80% of displacements
b 1 65,135607.4047896694,17.57,,,,135607.4047896694,Lower 80% of displacements
b 1 65,128473.47030811617,15.37,,,,128473.47030811617,Lower 80% of displacements
b 1 65,122256.318215628,13.67,,,,122256.318215628,Lower 80% of displacements
b 1 65,109863.09682499815,12.3,,,,109863.09682499815,Lower 80% of displacements
b 1 65,94572.74287711986,11.18,,,,94572.74287711986,Lower 80% of displacements
b 1 65,83131.11209344536,10.25,,,,83131.11209344536,Lower 80% of displacements
b 1 70,45341.67515347926,159.0,,,576724.170710926,,Upper 20% of displacements
b 1 70,556946.4573250345,123.0,,,556946.4573250345,,Upper 20% of displacements
b 1 70,501063.09804815595,61.5,,,501063.09804815595,,Upper 20% of displacements
b 1 70,418884.9812579896,41.0,,,418884.9812579896,,Upper 20% of displacements
b 1 70,325171.2179385285,30.75,,,325171.2179385285,,Upper 20% of displacements
b 1 70,237818.13342726187,24.6,,,237818.13342726187,,Upper 20% of displacements
