,value,period,hidisp_s,lodisp_s,hidisp_b,lodisp_b,category
b 1 5,22959.396532669853,159.0,,39825.60641756393,,,Lower 80% of displacements
b 1 5,38462.3253852396,123.0,,38462.3253852396,,,Lower 80% of displacements
b 1 5,34610.43302331667,61.5,,34610.43302331667,,,Lower 80% of displacements
b 1 5,28946.596161163885,41.0,,28946.596161163885,,,Lower 80% of displacements
b 1 5,22488.47258231904,30.75,,22488.47258231904,,,Lower 80% of displacements
b 1 5,16468.636810057666,24.6,,16468.636810057666,,,Lower 80% of displacements
b 1 5,12141.293019366118,20.5,,12141.293019366118,,,Lower 80% of displacements
b 1 5,10137.95194686477,17.57,,10137.95194686477,,,Lower 80% of displacements
b 1 5,9589.543966902569,15.37,,9589.543966902569,,,Lower 80% of displacements
b 1 5,9113.022662163212,13.67,,9113.022662163212,,,Lower 80% of displacements
b 1 5,8181.808969341636,12.3,,8181.808969341636,,,Lower 80% of displacements
b 1 5,7039.359241170361,11.18,,7039.359241170361,,,Lower 80% of displacements
b 1 5,6187.553777966067,10.25,,6187.553777966067,,,Lower 80% of displacements
b 1 10,24502.928498740635,159.0,,79940.22630498651,,,Lower 80% of displacements
b 1 10,77204.89699113199,123.0,,77204.89699113199,,,Lower 80% of displacements
b 1 10,69476.52121693877,61.5,,69476.52121693877,,,Lower 80% of displacements
b 1 10,58113.371752364685,41.0,,58113.371752364685,,,Lower 80% of displacements
b 1 10,45158.407407415885,30.75,,45158.407407415885,,,Lower 80% of displacements
b 1 10,33086.1161415289,24.6,,33086.1161415289,,,Lower 80% of displacements
b 1 10,24412.45779139581,20.5,,24412.45779139581,,,Lower 80% of displacements
b 1 10,20398.14589832867,17.57,,20398.14589832867,,,Lower 80% of displacements
b 1 10,19295.804060917468,15.37,,19295.804060917468,,,Lower 80% of displacements
b 1 10,18334.4918748887,13.67,,18334.4918748887,,,Lower 80% of displacements
b 1 10,16459.213166664493,12.3,,16459.213166664493,,,Lower 80% of displacements
b 1 10,14157.194166070802,11.18,,14157.194166070802,,,Lower 80% of displacements
b 1 10,12434.912246022146,10.25,,12434.912246022146,,,Lower 80% of displacements
b 1 15,26217.14808293965,159.0,,120265.76955480305,,,Lower 80% of displacements
b 1 15,116151.12740533848,123.0,,116151.12740533848,,,Lower 80% of displacements
b 1 15,104525.5935828652,61.5,,104525.5935828652,,,Lower 80% of displacements
b 1 15,87432.1933922898,41.0,,87432.1933922898,,,Lower 80% of displacements
b 1 15,67943.80353515336,30.75,,67943.80353515336,,,Lower 80% of displacements
b 1 15,49782.317036762855,24.6,,49782.317036762855,,,Lower 80% of displacements
b 1 15,36731.97706263706,20.5,,36731.97706263706,,,Lower 80% of displacements
b 1 15,30689.87487363458,17.57,,30689.87487363458,,,Lower 80% of displacements
b 1 15,29029.577657265374,15.37,,29029.577657265374,,,Lower 80% of displacements
b 1 15,27583.152864160485,13.67,,27583.152864160485,,,Lower 80% of displacements
b 1 15,24762.41669002726,12.3,,24762.41669002726,,,Lower 80% of displacements
b 1 15,21299.224140533155,11.18,,21299.224140533155,,,Lower 80% of displacements
b 1 15,18707.147021582667,10.25,,18707.147021582667,,,Lower 80% of displacements
b 1 20,27342.850661427718,159.0,,160486.97287343026,,,Lower 80% of displacements
b 1 20,154990.3736770143,123.0,,154990.3736770143,,,Lower 80% of displacements
b 1 20,139459.61039084097,61.5,,139459.61039084097,,,Lower 80% of displacements
b 1 20,116621.95408493302,41.0,,116621.95408493302,,,Lower 80% of displacements
b 1 20,90579.34039085543,30.75,,90579.34039085543,,,Lower 80% of displacements
b 1 20,66301.76919547743,24.6,,66301.76919547743,,,Lower 80% of displacements
b 1 20,48853.059479894124,20.5,,48853.059479894124,,,Lower 80% of displacements
b 1 20,40792.43849660439,17.57,,40792.43849660439,,,Lower 80% of displacements
b 1 20,38610.35798592936,15.37,,38610.35798592936,,,Lower 80% of displacements
b 1 20,36715.15209675283,13.67,,36715.15209675283,,,Lower 80% of displacements
b 1 20,32979.803885786925,12.3,,32979.803885786925,,,Lower 80% of displacements
b 1 20,28385.895825438067,11.18,,28385.895825438067,,,Lower 80% of displacements
b 1 20,24956.01112275153,10.25,,24956.01112275153,,,Lower 80% of displacements
b 1 25,29276.06209498094,159.0,,200997.73445584835,,,Lower 80% of displacements
b 1 25,194111.31947432787,123.0,,194111.31947432787,,,Lower 80% of displacements
b 1 25,174653.5612907483,61.5,,174653.5612907483,,,Lower 80% of displacements
b 1 25,146041.37180010168,41.0,,146041.37180010168,,,Lower 80% of displacements
b 1 25,113414.66266942595,30.75,,113414.66266942595,,,Lower 80% of displacements
b 1 25,83003.37469015567,24.6,,83003.37469015567,,,Lower 80% of displacements
b 1 25,61159.682650462506,20.5,,61159.682650462506,,,Lower 80% of displacements
b 1 25,51093.936427871944,17.57,,51093.936427871944,,,Lower 80% of displacements
b 1 25,48393.70165397825,15.37,,48393.70165397825,,,Lower 80% of displacements
b 1 25,46041.416100533854,13.67,,46041.416100533854,,,Lower 80% of displacements
b 1 25,41371.34375802208,12.3,,41371.34375802208,,,Lower 80% of displacements
b 1 25,35611.774222644046,11.18,,35611.774222644046,,,Lower 80% of displacements
b 1 25,31294.819887549085,10.25,,31294.819887549085,,,Lower 80% of displacements
b 1 30,30834.297411280262,159.0,,241944.02818844328,,,Lower 80% of displacements
b 1 30,233654.94807890157,123.0,,233654.94807890157,,,Lower 80% of displacements
b 1 30,210234.17681576812,61.5,,210234.17681576812,,,Lower 80% of displacements
b 1 30,175795.3729424065,41.0,,175795.3729424065,,,Lower 80% of displacements
b 1 30,136526.64094200588,30.75,,136526.64094200588,,,Lower 80% of displacements
b 1 30,99928.29762928374,24.6,,99928.29762928374,,,Lower 80% of displacements
b 1 30,73645.6573167408,20.5,,73645.6573167408,,,Lower 80% of displacements
b 1 30,61535.820419895994,17.57,,61535.820419895994,,,Lower 80% of displacements
b 1 30,58282.281030494334,15.37,,58282.281030494334,,,Lower 80% of displacements
b 1 30,55442.035675434796,13.67,,55442.035675434796,,,Lower 80% of displacements
b 1 30,49809.78988697676,12.3,,49809.78988697676,,,Lower 80% of displacements
b 1 30,42865.62494030631,11.18,,42865.62494030631,,,Lower 80% of displacements
b 1 30,37660.13108444295,10.25,,37660.13108444295,,,Lower 80% of displacements
b 1 35,32609.453186568455,159.0,,283102.57276360557,,,Lower 80% of displacements
b 1 35,273403.64424134104,123.0,,273403.64424134104,,,Lower 80% of displacements
b 1 35,245999.24068164465,61.5,,245999.24068164465,,,Lower 80% of displacements
b 1 35,205702.361611792,41.0,,205702.361611792,,,Lower 80% of displacements
b 1 35,159753.05338456164,30.75,,159753.05338456164,,,Lower 80% of displacements
b 1 35,116926.57154340505,24.6,,116926.57154340505,,,Lower 80% of displacements
b 1 35,86168.35492130625,20.5,,86168.35492130625,,,Lower 80% of displacements
b 1 35,71994.0667970185,17.57,,71994.0667970185,,,Lower 80% of displacements
b 1 35,68186.23197311105,15.37,,68186.23197311105,,,Lower 80% of displacements
b 1 35,64865.120980441505,13.67,,64865.120980441505,,,Lower 80% of displacements
b 1 35,58278.65964445581,12.3,,58278.65964445581,,,Lower 80% of displacements
b 1 35,50157.667031098026,11.18,,50157.667031098026,,,Lower 80% of displacements
b 1 35,44070.30506248855,10.25,,44070.30506248855,,,Lower 80% of displacements
b 1 40,33941.192525313396,159.0,,324474.27857108833,,,Lower 80% of displacements
b 1 40,313355.800089636,123.0,,313355.800089636,,,Lower 80% of displacements
b 1 40,281940.368377874,61.5,,281940.368377874,,,Lower 80% of displacements
b 1 40,235745.13187437484,41.0,,235745.13187437484,,,Lower 80% of displacements
b 1 40,183069.20739108016,30.75,,183069.20739108016,,,Lower 80% of displacements
b 1 40,133971.65357413568,24.6,,133971.65357413568,,,Lower 80% of displacements
b 1 40,98708.94800264145,20.5,,98708.94800264145,,,Lower 80% of displacements
