,value,period,hidisp_s,lodisp_s,hidisp_b,lodisp_b,category
b 1 5,22959.396532669853,159.0,,39825.60641756393,,,Lower 80% of displacements
b 1 10,24502.928498740635,159.0,,79940.22630498651,,,Lower 80% of displacements
b 1 15,26217.14808293965,159.0,,120265.76955480305,,,Lower 80% of displacements
b 1 20,27342.850661427718,159.0,,160486.97287343026,,,Lower 80% of displacements
b 1 25,29276.06209498094,159.0,,200997.73445584835,,,Lower 80% of displacements
b 1 30,30834.297411280262,159.0,,241944.02818844328,,,Lower 80% of displacements
b 1 35,32609.453186568455,159.0,,283102.57276360557,,,Lower 80% of displacements
b 1 40,33941.192525313396,159.0,,324474.27857108833,,,Lower 80% of displacements
b 1 45,35819.25760191071,159.0,,365787.16439687175,,,Lower 80% of displacements
b 1 50,38126.70918842725,159.0,,407450.9173713847,,,Lower 80% of displacements
b 1 55,39641.805314389,159.0,,,,449500.010154673,Lower 80% of displacements
b 1 60,41528.276019652905,159.0,,,,491692.0111234195,Lower 80% of displacements
b 1 65,43364.46686634753,159.0,,,,534328.822270848,Lower 80% of displacements
b 1 70,45341.67515347926,159.0,,,576724.170710926,,Upper 20% of displacements
b 1 75,47170.78941965023,159.0,,,619266.2719809768,,Upper 20% of displacements
b 1 80,49280.06243981176,159.0,,,,662179.3999195138,Lower 80% of displacements
b 1 85,51323.143679379486,159.0,,,705889.5852827737,,Upper 20% of displacements
b 1 90,53929.829328368054,159.0,,,,748108.4642563243,Lower 80% of displacements
b 1 95,56052.530265892245,159.0,,,,792130.708764318,Lower 80% of displacements
b 1 100,58929.76968259934,159.0,,,,835165.9120910096,Lower 80% of displacements
b 2 5,22915.476559070397,159.0,,38390.439595769676,,,Lower 80% of displacements
b 2 10,24702.442842884222,159.0,,76971.18304953112,,,Lower 80% of displacements
b 2 15,26389.402785520317,159.0,,115857.2066566654,,,Lower 80% of displacements
b 2 20,27262.947296151855,159.0,,154736.1328471767,,,Lower 80% of displacements
b 2 25,28722.45434666722,159.0,,193999.8944652463,,,Lower 80% of displacements
b 2 30,30657.95256209423,159.0,,233169.2842298616,,,Lower 80% of displacements
b 2 35,32658.075749276955,159.0,,272703.8322833532,,,Lower 80% of displacements
b 2 40,33547.68756501484,159.0,,312624.24023147055,,,Lower 80% of displacements
b 2 45,35455.33180765658,159.0,,352634.761991202,,,Lower 80% of displacements
b 2 50,37279.694732242184,159.0,,392846.9416295852,,,Lower 80% of displacements
b 2 55,38749.54783290762,159.0,,,,433434.45658564364,Lower 80% of displacements
b 2 60,40722.154020669564,159.0,,,,474027.5819773014,Lower 80% of displacements
b 2 65,42462.012737880985,159.0,,,514816.8924764139,,Upper 20% of displacements
b 2 70,44377.951199081544,159.0,,,,555856.1976976317,Lower 80% of displacements
b 2 75,46488.21825874523,159.0,,,596264.5655907262,,Upper 20% of displacements
b 2 80,48442.80817879907,159.0,,,637911.9299532039,,Upper 20% of displacements
b 2 85,50430.789541213664,159.0,,,679718.1950574984,,Upper 20% of displacements
b 2 90,52467.95271965337,159.0,,,721620.2001209941,,Upper 20% of displacements
b 2 95,54433.23634491312,159.0,,,763783.5223267255,,Upper 20% of displacements
b 2 100,56870.78907041624,159.0,,,,805369.0566949811,Lower 80% of displacements
b 3 5,22873.186399607654,159.0,,36960.9320127441,,,Lower 80% of displacements
b 3 10,24771.852396710943,159.0,,74089.85788550744,,,Lower 80% of displacements
b 3 15,26004.48605943752,159.0,,111549.94664359506,,,Lower 80% of displacements
b 3 20,27092.67834814849,159.0,,148948.75154359036,,,Lower 80% of displacements
b 3 25,28998.697476628535,159.0,,186679.15498060713,,,Lower 80% of displacements
b 3 30,30399.726978105584,159.0,,224549.79203681104,,,Lower 80% of displacements
b 3 35,32661.88106324758,159.0,,262523.34200520517,,,Lower 80% of displacements
b 3 40,33373.28961054313,159.0,,300961.88914280024,,,Lower 80% of displacements
b 3 45,35009.8286596201,159.0,,339412.4718852483,,,Lower 80% of displacements
b 3 50,36835.05666381256,159.0,,378157.69682280754,,,Lower 80% of displacements
b 3 55,38252.07155385265,159.0,,,,417132.0077024302,Lower 80% of displacements
b 3 60,40128.51777695626,159.0,,,,456254.6020468561,Lower 80% of displacements
